,Date,Home Team,Visitor Team,Home Team Score,Visitor Team Score
75,2021-01-22T00:00:00.000Z,Sacramento Kings,New York Knicks,103,94
76,2021-01-27T00:00:00.000Z,Atlanta Hawks,Brooklyn Nets,128,132
77,2021-01-27T00:00:00.000Z,Utah Jazz,Dallas Mavericks,116,104
78,2021-02-15T00:00:00.000Z,Golden State Warriors,Cleveland Cavaliers,129,98
79,2021-02-10T00:00:00.000Z,Los Angeles Lakers,Oklahoma City Thunder,114,113
80,2021-02-25T00:00:00.000Z,Denver Nuggets,Washington Wizards,110,112
81,2021-01-20T00:00:00.000Z,Houston Rockets,Phoenix Suns,103,109
82,2021-02-04T00:00:00.000Z,Los Angeles Lakers,Denver Nuggets,114,93
83,2021-02-16T00:00:00.000Z,Milwaukee Bucks,Toronto Raptors,113,124
84,2021-01-23T00:00:00.000Z,Utah Jazz,Golden State Warriors,127,108
85,2021-01-16T00:00:00.000Z,Phoenix Suns,Indiana Pacers,111,122
86,2021-02-24T00:00:00.000Z,New Orleans Pelicans,Detroit Pistons,128,118
87,2021-02-19T00:00:00.000Z,Minnesota Timberwolves,Toronto Raptors,81,86
88,2021-03-03T00:00:00.000Z,Minnesota Timberwolves,Charlotte Hornets,102,135
89,2021-01-24T00:00:00.000Z,LA Clippers,Oklahoma City Thunder,108,100
90,2021-02-12T00:00:00.000Z,Chicago Bulls,LA Clippers,106,125
91,2021-01-25T00:00:00.000Z,Brooklyn Nets,Miami Heat,98,85
92,2021-02-13T00:00:00.000Z,New York Knicks,Houston Rockets,121,99
93,2021-02-20T00:00:00.000Z,Memphis Grizzlies,Phoenix Suns,97,128
94,2021-02-14T00:00:00.000Z,Toronto Raptors,Minnesota Timberwolves,112,116
95,2021-02-21T00:00:00.000Z,New York Knicks,Minnesota Timberwolves,103,99
96,2021-02-22T00:00:00.000Z,Phoenix Suns,Portland Trail Blazers,132,100
97,2021-01-28T00:00:00.000Z,Detroit Pistons,Los Angeles Lakers,107,92
98,2021-02-23T00:00:00.000Z,New York Knicks,Golden State Warriors,106,114
99,2021-02-01T00:00:00.000Z,Chicago Bulls,New York Knicks,110,102
100,2021-03-13T00:00:00.000Z,Denver Nuggets,Dallas Mavericks,103,116
101,2021-03-17T00:00:00.000Z,Indiana Pacers,Brooklyn Nets,115,124
102,2021-05-05T00:00:00.000Z,Orlando Magic,Boston Celtics,96,132
103,2021-03-29T00:00:00.000Z,Brooklyn Nets,Minnesota Timberwolves,112,107
